miRNA,log2FC,p_value,adj_p,Direction,Significant
hsa-miR-10a-5p,0.2385388859547568,0.8117625803453619,0.897390686567416,Up_in_LUAD,False
hsa-miR-10b-5p,-0.09333581170654703,0.9162121196243533,0.9531803294674297,Down_in_LUAD,False
hsa-miR-1179,-30.030011177398617,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1180-3p,0.8422947612767269,0.3946907145001626,0.5690931320978306,Up_in_LUAD,False
hsa-miR-1181,29.846464914400045,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1199-5p,32.41116409337503,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1208,29.32453547386889,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1224-5p,1.7480406547203236,0.43294222943208793,0.5989057425858956,Up_in_LUAD,False
hsa-miR-1225-3p,-32.53555510885663,0.3172431713351639,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1227-5p,-26.570651070771973,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1228-3p,-28.38779867574353,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1228-5p,1.937930868240291,0.27073664141269643,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1229-3p,-32.5147042713501,0.16795821094065588,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1229-5p,-28.25240360193095,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1236-5p,-29.835257650113224,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-1237-3p,-28.28284260753172,0.34343639613791355,0.5362329327587064,Down_in_LUAD,False
hsa-miR-124-3p,31.089235998866574,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1244,34.678473961565444,0.3408931323020601,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1246,1.4734789446303447,0.2610193868242005,0.5362329327587064,Up_in_LUAD,False
hsa-miR-1247-5p,-2.0378253890238796,0.4408687068456597,0.6040868655021902,Down_in_LUAD,False
